V 	I 
180.00	255.20
200.00	255.20
244.80	254.00
307.90	250.80
327.50	248.40
344.10	244.80
358.70	240.40
370.60	234.80
381.70	228.80
390.70	222.40
417.30	198.00
426.30	186.40
437.10	171.20
440.70	166.00
445.30	158.40
447.30	154.40
448.50	150.40
450.40	149.20
453.70	143.60
455.50	140.00
458.70	134.00
460.00	131.20
464.50	123.20
468.30	116.00
469.50	113.60
470.90	118.40
473.40	105.60
475.40	101.20
477.10	97.20
479.60	90.80
480.40	85.60
483.60	79.60
486.50	73.60
488.20	70.40
490.30	65.60
492.20	61.60
494.40	56.80
497.00	50.80
499.10	46.00
501.80	39.20
504.10	33.60
506.50	26.80
508.40	22.00
510.80	16.40
512.20	12.40
514.20	7.60
515.80	3.60
516.00	2.40
516.70	0.00
